Year,Month,Temperature,App Temperature,Visibility,Wind Speed,Humidity,Pressure
2006,1,-1.7,-4.2,7.9,8.9,0.8,1021.2
2006,2,-0.1,-3.0,7.4,11.0,0.8,995.2
2006,3,4.6,2.0,9.6,14.4,0.8,976.4
2006,4,12.6,12.1,10.6,10.9,0.7,1013.5
2006,5,15.7,15.5,11.8,10.2,0.7,1016.6
2006,6,19.4,19.5,11.6,8.8,0.7,1015.0
2006,7,23.6,23.6,11.4,7.2,0.7,990.7
2006,8,19.5,19.5,11.5,9.6,0.8,935.1
2006,9,18.2,18.2,10.8,9.9,0.7,908.1
2006,10,12.8,12.4,10.7,9.4,0.7,1015.3
2006,11,7.1,5.3,8.4,12.7,0.8,996.9
2006,12,2.2,0.1,5.2,9.3,0.9,1025.5
2007,1,4.9,2.4,10.3,14.2,0.8,1007.6
2007,2,4.9,2.6,9.5,12.5,0.8,1010.7
2007,3,8.4,7.2,11.0,12.3,0.7,1001.4
2007,4,12.3,11.9,12.0,9.9,0.5,1009.7
2007,5,17.6,17.5,11.5,10.1,0.7,1009.1
2007,6,22.0,21.9,11.7,8.5,0.6,1000.2
2007,7,23.7,23.3,12.0,11.1,0.5,1012.1
2007,8,23.3,23.1,12.1,10.3,0.6,1007.8
2007,9,14.5,14.3,10.9,10.6,0.7,1017.6
2007,10,10.5,9.7,9.5,9.2,0.7,917.5
2007,11,3.8,1.2,8.7,13.0,0.8,1002.9
2007,12,-0.8,-3.0,5.7,8.2,0.8,1024.7
2008,1,0.8,-2.1,7.3,12.2,0.8,1021.2
2008,2,4.1,1.9,9.6,11.7,0.7,1016.2
2008,3,7.1,5.0,11.1,14.6,0.7,1004.6
2008,4,11.8,11.2,11.1,11.6,0.7,1004.0
2008,5,17.2,17.1,11.5,9.7,0.7,1009.5
2008,6,21.5,21.5,11.0,8.8,0.7,1013.2
2008,7,21.9,21.8,11.7,11.5,0.6,1009.5
2008,8,22.6,22.4,11.8,10.4,0.6,1007.5
2008,9,15.8,15.5,10.5,9.0,0.7,1016.8
2008,10,12.6,12.3,9.3,9.4,0.7,969.7
2008,11,7.2,5.4,9.7,12.7,0.8,1000.2
